SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
610200,THORP J,150162990252484
610201,THORP O,150162990252486
610202,TILTON,150162990252487
610203,TONTI,150162990252488
610206,TWAIN,150162990252490
610207,VANDERPOEL,150162990252491
610208,LAVIZZO,150162990252492
610209,VOLTA,150162990252494
610366,WACKER,150162990252497
610213,WADSWORTH,150162990252498
610216,WALSH,150162990252500
610217,WARD J,150162990252501
610218,WARREN,150162990252502
610219,WASHINGTON G ES,150162990252503
610220,WATERS,150162990252504
610221,WEBSTER,150162990252505
610223,WENTWORTH,150162990252506
610300,WESTCOTT,150162990252507
610229,PRITZKER,150162990252510
610225,WHISTLER,150162990252512
610227,WHITNEY,150162990252513
610228,WHITTIER,150162990252514
610230,WILDWOOD,150162990252516
610345,WOODSON,150162990252521
610235,YOUNG ES,150162990252525
610234,YATES,150162990252542
610532,HERNANDEZ,150162990252597
609874,DIRKSEN,150162990252603
610367,DEPRIEST,150162990252605
610003,CUFFE,150162990252617
609927,FOSTER PARK,150162990252618
610368,HUGHES L,150162990252620
609944,GRISSOM,150162990252622
610282,MCNAIR,150162990252634
609975,HAY,150162990252636
610004,CULLEN,150162990252637
609795,CLARK ES,150162990252700
610291,LEE,150162990252703
609869,LANGFORD,150162990252704
610250,SALAZAR,150162990252706
610305,LELAND,150162990252714
610256,ROBINSON,150162990252724
610068,HANSON PARK,150162990252726
610315,WHITE,150162990252729
610312,MCDOWELL,150162990252737
610084,KELLER,150162990252739
610316,EARHART,150162990252743
610065,TILL,150162990252766
610133,WARD L,150162990252767
609978,SMITH,150162990252768
610128,GARVEY,150162990252773
609805,JOPLIN,150162990252775
610024,CARDENAS,150162990252783
610281,POWELL,150162990252785
609900,CURTIS,150162990252799
610246,BEASLEY,150162990252800
610290,MAYS,150162990252802
609902,METCALFE,150162990252804
609880,DECATUR,150162990252805
609920,KANOON,150162990252806
609941,RANDOLPH,150162990252807
610132,POE,150162990252809
609958,GUNSAULUS,150162990252811
609961,NINOS HEROES,150162990252823
610313,DE DIEGO,150162990252825
609895,TURNER-DREW,150162990252826
610342,SABIN,150162990252828
610017,SAUCEDO,150162990252829
610239,DALEY,150162990252837
610215,MADERO,150162990252838
