SCHOOL ID (R-C-D-T-S),"SCHOOL TYPE CODE (0,1,2,C)",SCHOOL NAME,DISTRICT NAME,CITY,COUNTY ,"DISTRICT TYPE CODE (0,1,2,9)","DISTRICT SIZE CODE (1,2,...8,9)",DISTRICT TYPE NAME,DISTRICT SIZE NAME,SCHOOL TYPE NAME,GRADES IN SCHOOL,SCHOOL - WHITE %,SCHOOL - BLACK %,SCHOOL - HISPANIC %,SCHOOL - ASIAN %,SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,SCHOOL - NATIVE AMERICAN %,SCHOOL - TWO OR MORE RACES %,SCHOOL TOTAL ENROLLMENT,DISTRICT - WHITE %,DISTRICT - BLACK %,DISTRICT - HISPANIC %,DISTRICT - ASIAN %,DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,DISTRICT - NATIVE AMERICAN %,DISTRICT - TWO OR MORE RACES %,DISTRICT TOTAL ENROLLMENT
50160650042021,2,Willard Elem School              ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,61.2,7.5,23.7,1.9,0,0,5.8,536,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042022,2,Dr ML King Jr Literary&Fine Arts ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6 7 8              ,38,32.1,15.2,4.5,0.2,0.7,9.4,574,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042023,2,Kingsley Elementary School       ,Evanston CCSD 65                 ,Evanston         ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,52.4,22,7.9,2.9,0,0.5,14.3,378,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160650042024,2,Dr Bessie Rhodes-Global Studies  ,Evanston CCSD 65                 ,Skokie           ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5 6 7 8              ,30.8,34.4,13.6,10,0.3,0.3,10.6,360,43.7,22.5,19.8,4.7,0.1,0.3,9,"7,959"
50160670021002,1,Golf Middle School               ,Golf ESD 67                      ,Morton Grove     ,Cook       ,0,2,ELEMENTARY ,MEDIUM,MIDDLE SCHL,5 6 7 8                        ,51.1,2.1,10.6,35.5,0,0,0.7,282,50.3,3,8.1,37.4,0.3,0.3,0.6,658
50160670022003,2,Hynes Elem School                ,Golf ESD 67                      ,Morton Grove     ,Cook       ,0,2,ELEMENTARY ,MEDIUM,ELEMENTARY ,PK K 1 2 3 4                   ,49.6,3.8,6.3,39,0.3,0.5,0.5,367,50.3,3,8.1,37.4,0.3,0.3,0.6,658
50160680021002,1,Old Orchard Jr High School       ,Skokie SD 68                     ,Skokie           ,Cook       ,0,3,ELEMENTARY ,LARGE ,MIDDLE SCHL,PK 6 7 8                       ,35.3,10.6,17.9,31.1,0.1,0.1,4.9,689,37.1,9.8,17,31.4,0.1,0.3,4.4,"1,851"
50160680022001,2,Devonshire Elem School           ,Skokie SD 68                     ,Skokie           ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,42.3,9.7,16.7,27.6,0,0.6,3.1,359,37.1,9.8,17,31.4,0.1,0.3,4.4,"1,851"
50160680022004,2,Jane Stenson School              ,Skokie SD 68                     ,Skokie           ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,36.4,11.2,17.8,30.1,0,0.5,4,376,37.1,9.8,17,31.4,0.1,0.3,4.4,"1,851"
50160680022005,2,Highland Elementary School       ,Skokie SD 68                     ,Skokie           ,Cook       ,0,3,ELEMENTARY ,LARGE ,ELEMENTARY ,K 1 2 3 4 5                    ,36.4,7.1,15.4,37.1,0,0,4,396,37.1,9.8,17,31.4,0.1,0.3,4.4,"1,851"
50160690021003,1,Lincoln Jr High School           ,Skokie SD 69                     ,Skokie           ,Cook       ,0,2,ELEMENTARY ,MEDIUM,MIDDLE SCHL,6 7 8                          ,35.3,12.1,18.2,29.4,0,0,5,538,38.5,9.7,17.1,28.7,0,0.2,5.8,"1,705"
50160690022001,2,Thomas Edison Elem School        ,Skokie SD 69                     ,Morton Grove     ,Cook       ,0,2,ELEMENTARY ,MEDIUM,ELEMENTARY ,3 4 5                          ,38.1,8.3,17.8,29.1,0,0.2,6.5,540,38.5,9.7,17.1,28.7,0,0.2,5.8,"1,705"
50160690022004,2,Madison Elem School              ,Skokie SD 69                     ,Skokie           ,Cook       ,0,2,ELEMENTARY ,MEDIUM,ELEMENTARY ,PK K 1 2                       ,38.6,9.3,16.2,29.3,0,0.5,6.2,594,38.5,9.7,17.1,28.7,0,0.2,5.8,"1,705"
